Reg,Callsign,Country,Make,Model
ZK-HRF,HRF- (500),New Zealand,HUGHES HELICOPTERS,369D
ZK-HRI,HRI-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-HRK,HRK-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HRM,HRM-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HRS,HRS-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-HRV,HRV-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HSC,HSC-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HSD,HSD-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D
ZK-HSG,HSG-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-HSM,HSM-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HSN,HSN-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HSQ,HSQ-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-HSS,HSS-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-HTD,HTD (B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-HTH,HTH-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-HTK,HTK-(LR),New Zealand,BELL HELICOPTER CO,206L-1
